Case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
37,no checking,critical/other existing credit,education,5000<=X<10000,<100,1<=X<4,male single,30<X<=40,skilled,good
38,>=200,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,male single,30<X<=40,skilled,bad
39,>=200,existing paid,domestic appliance,1000<=X<2500,<100,1<=X<4,male single,30<X<=40,skilled,good
40,0<=X<200,existing paid,radio/tv,X<1000,<100,1<=X<4,male single,23<X<=30,skilled,good
41,no checking,existing paid,radio/tv,1000<=X<2500,500<=X<1000,>=7,male single,23<X<=30,high qualif/self emp/mgmt,good
42,0<=X<200,existing paid,radio/tv,1000<=X<2500,500<=X<1000,1<=X<4,male div/sep,23<X<=30,skilled,good
43,0<=X<200,delayed previously,repairs,5000<=X<10000,<100,1<=X<4,male single,40<X<=50,unskilled resident,good
44,<0,critical/other existing credit,used car,5000<=X<10000,100<=X<500,4<=X<7,male mar/wid,23<X<=30,skilled,good
45,<0,critical/other existing credit,used car,5000<=X<10000,<100,>=7,female div/dep/mar,50<X<=60,unskilled resident,bad
46,no checking,critical/other existing credit,new car,1000<=X<2500,<100,<1,female div/dep/mar,30<X<=40,high qualif/self emp/mgmt,good
47,no checking,existing paid,radio/tv,1000<=X<2500,500<=X<1000,>=7,male single,30<X<=40,skilled,good
48,<0,existing paid,used car,1000<=X<2500,500<=X<1000,unemployed,female div/dep/mar,X<=23,unemp/unskilled non res,good
49,no checking,critical/other existing credit,new car,5000<=X<10000,<100,1<=X<4,male single,30<X<=40,unskilled resident,good
50,no checking,existing paid,radio/tv,1000<=X<2500,100<=X<500,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
51,0<=X<200,delayed previously,furniture/equipment,1000<=X<2500,no known savings,<1,male single,23<X<=30,unskilled resident,good
52,0<=X<200,delayed previously,used car,5000<=X<10000,<100,>=7,male single,23<X<=30,high qualif/self emp/mgmt,good
53,no checking,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,male single,23<X<=30,skilled,good
54,no checking,existing paid,used car,2500<=X<5000,no known savings,1<=X<4,male single,X<=23,skilled,good
55,0<=X<200,delayed previously,new car,1000<=X<2500,<100,>=7,male single,50<X<=60,skilled,bad
56,no checking,all paid,new car,X<1000,no known savings,1<=X<4,male single,23<X<=30,unskilled resident,good
57,0<=X<200,existing paid,radio/tv,5000<=X<10000,no known savings,unemployed,male single,50<X<=60,high qualif/self emp/mgmt,bad
58,no checking,critical/other existing credit,radio/tv,5000<=X<10000,<100,1<=X<4,female div/dep/mar,30<X<=40,skilled,good
59,>=200,existing paid,new car,1000<=X<2500,<100,>=7,female div/dep/mar,X<=23,high qualif/self emp/mgmt,good
60,<0,critical/other existing credit,furniture/equipment,5000<=X<10000,<100,<1,female div/dep/mar,X<=23,unskilled resident,bad
61,0<=X<200,existing paid,business,1000<=X<2500,<100,1<=X<4,male mar/wid,23<X<=30,skilled,good
62,0<=X<200,critical/other existing credit,radio/tv,1000<=X<2500,no known savings,>=7,male single,40<X<=50,skilled,good
63,0<=X<200,no credits/all paid,business,1000<=X<2500,<100,>=7,male single,X>60,high qualif/self emp/mgmt,bad
64,0<=X<200,no credits/all paid,business,X>=10000,<100,1<=X<4,male single,23<X<=30,skilled,bad
65,no checking,existing paid,radio/tv,2500<=X<5000,<100,<1,female div/dep/mar,23<X<=30,skilled,good
66,no checking,existing paid,repairs,5000<=X<10000,no known savings,>=7,male single,40<X<=50,skilled,good
67,no checking,existing paid,radio/tv,1000<=X<2500,<100,<1,female div/dep/mar,23<X<=30,skilled,good
68,0<=X<200,existing paid,new car,1000<=X<2500,>=1000,1<=X<4,male mar/wid,X<=23,skilled,good
69,no checking,existing paid,education,1000<=X<2500,<100,1<=X<4,male single,30<X<=40,skilled,bad
70,no checking,existing paid,radio/tv,1000<=X<2500,no known savings,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
71,no checking,existing paid,used car,5000<=X<10000,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
72,no checking,critical/other existing credit,radio/tv,X<1000,no known savings,>=7,male single,40<X<=50,unskilled resident,good
73,<0,critical/other existing credit,other,1000<=X<2500,<100,>=7,male single,50<X<=60,high qualif/self emp/mgmt,good
74,0<=X<200,critical/other existing credit,business,5000<=X<10000,<100,4<=X<7,female div/dep/mar,40<X<=50,unskilled resident,good
75,<0,existing paid,education,1000<=X<2500,no known savings,>=7,male single,30<X<=40,high qualif/self emp/mgmt,bad
76,<0,critical/other existing credit,used car,1000<=X<2500,<100,>=7,male single,X>60,high qualif/self emp/mgmt,good
77,<0,existing paid,radio/tv,2500<=X<5000,<100,<1,male single,30<X<=40,skilled,bad
78,0<=X<200,delayed previously,radio/tv,2500<=X<5000,<100,4<=X<7,male single,50<X<=60,skilled,good
79,no checking,no credits/all paid,used car,5000<=X<10000,no known savings,1<=X<4,male single,30<X<=40,unskilled resident,good
80,0<=X<200,existing paid,furniture/equipment,2500<=X<5000,<100,<1,male mar/wid,X<=23,skilled,good
81,no checking,existing paid,radio/tv,5000<=X<10000,no known savings,<1,female div/dep/mar,40<X<=50,skilled,bad
82,no checking,existing paid,radio/tv,1000<=X<2500,500<=X<1000,>=7,male single,40<X<=50,skilled,good
83,no checking,existing paid,business,1000<=X<2500,100<=X<500,1<=X<4,female div/dep/mar,23<X<=30,unskilled resident,good
84,<0,existing paid,other,1000<=X<2500,<100,>=7,female div/dep/mar,50<X<=60,unskilled resident,good
85,<0,existing paid,radio/tv,1000<=X<2500,<100,>=7,male single,50<X<=60,unskilled resident,good
86,no checking,critical/other existing credit,business,1000<=X<2500,<100,1<=X<4,female div/dep/mar,23<X<=30,high qualif/self emp/mgmt,good
87,0<=X<200,critical/other existing credit,furniture/equipment,1000<=X<2500,<100,<1,female div/dep/mar,23<X<=30,skilled,good
88,0<=X<200,existing paid,education,X>=10000,100<=X<500,1<=X<4,male single,40<X<=50,skilled,bad
89,<0,existing paid,new car,1000<=X<2500,100<=X<500,4<=X<7,male single,23<X<=30,high qualif/self emp/mgmt,good
90,<0,no credits/all paid,repairs,1000<=X<2500,<100,4<=X<7,male single,23<X<=30,skilled,bad
91,no checking,critical/other existing credit,radio/tv,X<1000,<100,>=7,male single,50<X<=60,skilled,good
92,<0,critical/other existing credit,used car,1000<=X<2500,<100,>=7,male single,50<X<=60,skilled,good
93,no checking,critical/other existing credit,radio/tv,X<1000,no known savings,>=7,female div/dep/mar,30<X<=40,unskilled resident,bad
94,>=200,critical/other existing credit,furniture/equipment,2500<=X<5000,no known savings,>=7,male single,X<=23,skilled,good
95,0<=X<200,existing paid,new car,1000<=X<2500,>=1000,>=7,male single,50<X<=60,skilled,good
96,0<=X<200,no credits/all paid,business,X>=10000,<100,<1,male single,50<X<=60,skilled,bad
97,no checking,critical/other existing credit,education,1000<=X<2500,no known savings,4<=X<7,female div/dep/mar,X>60,skilled,good
98,0<=X<200,existing paid,business,2500<=X<5000,100<=X<500,1<=X<4,male single,30<X<=40,skilled,good
99,0<=X<200,critical/other existing credit,radio/tv,1000<=X<2500,<100,>=7,male single,30<X<=40,skilled,good
100,0<=X<200,delayed previously,used car,5000<=X<10000,no known savings,4<=X<7,male single,30<X<=40,high qualif/self emp/mgmt,good
101,no checking,existing paid,new car,1000<=X<2500,100<=X<500,>=7,male mar/wid,40<X<=50,unskilled resident,good
102,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,4<=X<7,male single,23<X<=30,skilled,good
103,no checking,delayed previously,radio/tv,X<1000,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
104,0<=X<200,critical/other existing credit,furniture/equipment,1000<=X<2500,<100,4<=X<7,male single,30<X<=40,skilled,good
105,no checking,existing paid,used car,1000<=X<2500,no known savings,<1,male mar/wid,23<X<=30,skilled,good
106,0<=X<200,critical/other existing credit,other,X>=10000,<100,1<=X<4,male single,30<X<=40,high qualif/self emp/mgmt,bad
107,no checking,all paid,new car,5000<=X<10000,<100,>=7,male single,30<X<=40,high qualif/self emp/mgmt,bad
108,0<=X<200,existing paid,new car,5000<=X<10000,<100,4<=X<7,male single,30<X<=40,skilled,good
109,<0,existing paid,furniture/equipment,5000<=X<10000,no known savings,<1,female div/dep/mar,23<X<=30,skilled,good
110,0<=X<200,existing paid,business,1000<=X<2500,500<=X<1000,>=7,male mar/wid,30<X<=40,skilled,good
111,0<=X<200,delayed previously,business,1000<=X<2500,100<=X<500,>=7,male div/sep,30<X<=40,skilled,good
112,>=200,existing paid,education,X<1000,<100,<1,female div/dep/mar,X<=23,skilled,good
113,0<=X<200,existing paid,new car,5000<=X<10000,<100,4<=X<7,male single,23<X<=30,unskilled resident,good
114,no checking,critical/other existing credit,new car,5000<=X<10000,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,bad
115,<0,existing paid,radio/tv,1000<=X<2500,500<=X<1000,>=7,male mar/wid,30<X<=40,skilled,good
116,no checking,critical/other existing credit,radio/tv,2500<=X<5000,no known savings,>=7,male single,40<X<=50,skilled,good
117,<0,existing paid,radio/tv,5000<=X<10000,no known savings,4<=X<7,female div/dep/mar,23<X<=30,high qualif/self emp/mgmt,bad
118,<0,critical/other existing credit,furniture/equipment,1000<=X<2500,no known savings,<1,female div/dep/mar,23<X<=30,skilled,good
119,<0,critical/other existing credit,furniture/equipment,2500<=X<5000,500<=X<1000,1<=X<4,female div/dep/mar,X<=23,skilled,bad
120,0<=X<200,critical/other existing credit,new car,1000<=X<2500,500<=X<1000,4<=X<7,male div/sep,30<X<=40,high qualif/self emp/mgmt,good
121,<0,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,bad
122,no checking,critical/other existing credit,used car,2500<=X<5000,<100,>=7,female div/dep/mar,40<X<=50,high qualif/self emp/mgmt,good
123,no checking,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,male single,23<X<=30,unskilled resident,good
124,>=200,critical/other existing credit,new car,X<1000,<100,>=7,male single,X>60,skilled,good
125,0<=X<200,existing paid,furniture/equipment,1000<=X<2500,no known savings,<1,female div/dep/mar,23<X<=30,skilled,bad
126,<0,critical/other existing credit,new car,1000<=X<2500,<100,1<=X<4,male single,23<X<=30,skilled,good
127,<0,existing paid,radio/tv,X<1000,<100,1<=X<4,male mar/wid,30<X<=40,unskilled resident,good
128,0<=X<200,existing paid,repairs,X<1000,<100,1<=X<4,male single,23<X<=30,skilled,bad
129,0<=X<200,critical/other existing credit,used car,1000<=X<2500,<100,unemployed,male single,30<X<=40,high qualif/self emp/mgmt,good
130,<0,critical/other existing credit,new car,2500<=X<5000,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,bad
131,0<=X<200,existing paid,new car,5000<=X<10000,no known savings,4<=X<7,female div/dep/mar,23<X<=30,skilled,good
132,<0,delayed previously,education,5000<=X<10000,<100,1<=X<4,male single,23<X<=30,skilled,bad
133,no checking,existing paid,furniture/equipment,2500<=X<5000,<100,<1,male single,23<X<=30,unskilled resident,good
134,no checking,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,male single,40<X<=50,skilled,good
135,no checking,existing paid,radio/tv,X>=10000,100<=X<500,4<=X<7,female div/dep/mar,X<=23,skilled,good
136,no checking,critical/other existing credit,radio/tv,1000<=X<2500,no known savings,>=7,female div/dep/mar,30<X<=40,skilled,good
137,no checking,delayed previously,used car,5000<=X<10000,>=1000,1<=X<4,male single,23<X<=30,skilled,good
138,0<=X<200,existing paid,radio/tv,X<1000,500<=X<1000,1<=X<4,male single,X>60,unskilled resident,bad
139,0<=X<200,critical/other existing credit,radio/tv,2500<=X<5000,no known savings,4<=X<7,male single,30<X<=40,skilled,good
140,>=200,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,female div/dep/mar,40<X<=50,unskilled resident,good
141,>=200,existing paid,new car,X<1000,>=1000,<1,male mar/wid,23<X<=30,unemp/unskilled non res,good
142,0<=X<200,existing paid,radio/tv,2500<=X<5000,<100,<1,female div/dep/mar,23<X<=30,high qualif/self emp/mgmt,good
143,<0,existing paid,radio/tv,2500<=X<5000,<100,1<=X<4,male single,23<X<=30,high qualif/self emp/mgmt,good
144,<0,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,male single,X<=23,skilled,bad
145,no checking,critical/other existing credit,furniture/equipment,1000<=X<2500,<100,<1,female div/dep/mar,X<=23,skilled,good
146,0<=X<200,all paid,business,2500<=X<5000,100<=X<500,4<=X<7,male single,23<X<=30,skilled,good
147,<0,critical/other existing credit,new car,X<1000,<100,>=7,female div/dep/mar,30<X<=40,skilled,good
148,no checking,critical/other existing credit,new car,X<1000,100<=X<500,4<=X<7,female div/dep/mar,50<X<=60,skilled,good
149,<0,critical/other existing credit,furniture/equipment,5000<=X<10000,<100,1<=X<4,male single,23<X<=30,skilled,good
150,no checking,critical/other existing credit,radio/tv,1000<=X<2500,>=1000,>=7,male single,40<X<=50,skilled,good
151,no checking,existing paid,radio/tv,1000<=X<2500,100<=X<500,>=7,male single,40<X<=50,skilled,good
152,no checking,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,male single,30<X<=40,skilled,good
153,>=200,existing paid,radio/tv,5000<=X<10000,<100,1<=X<4,male single,23<X<=30,skilled,good
154,0<=X<200,critical/other existing credit,used car,5000<=X<10000,>=1000,>=7,female div/dep/mar,23<X<=30,skilled,good
155,0<=X<200,delayed previously,business,5000<=X<10000,100<=X<500,4<=X<7,male single,30<X<=40,high qualif/self emp/mgmt,good
156,<0,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,female div/dep/mar,X<=23,skilled,bad
157,<0,critical/other existing credit,repairs,1000<=X<2500,100<=X<500,>=7,male single,40<X<=50,skilled,good
158,<0,all paid,retraining,X<1000,<100,>=7,male mar/wid,40<X<=50,unskilled resident,good
159,0<=X<200,existing paid,new car,2500<=X<5000,100<=X<500,4<=X<7,male single,30<X<=40,skilled,good
160,no checking,critical/other existing credit,radio/tv,1000<=X<2500,no known savings,1<=X<4,male single,30<X<=40,unskilled resident,good
161,no checking,critical/other existing credit,radio/tv,2500<=X<5000,100<=X<500,>=7,male single,30<X<=40,skilled,good
162,no checking,critical/other existing credit,new car,1000<=X<2500,<100,<1,female div/dep/mar,23<X<=30,skilled,good
163,no checking,existing paid,domestic appliance,1000<=X<2500,500<=X<1000,4<=X<7,male single,30<X<=40,skilled,good
164,0<=X<200,existing paid,new car,5000<=X<10000,<100,unemployed,male single,X>60,high qualif/self emp/mgmt,good
165,no checking,existing paid,new car,X<1000,500<=X<1000,>=7,male single,30<X<=40,skilled,good
166,no checking,existing paid,furniture/equipment,2500<=X<5000,500<=X<1000,1<=X<4,male single,30<X<=40,skilled,good
167,<0,existing paid,furniture/equipment,1000<=X<2500,<100,unemployed,female div/dep/mar,30<X<=40,skilled,bad
168,0<=X<200,existing paid,furniture/equipment,1000<=X<2500,>=1000,<1,female div/dep/mar,X<=23,skilled,good
169,no checking,existing paid,furniture/equipment,2500<=X<5000,<100,4<=X<7,female div/dep/mar,23<X<=30,skilled,good
170,0<=X<200,critical/other existing credit,business,1000<=X<2500,<100,>=7,male div/sep,30<X<=40,skilled,bad
171,<0,no credits/all paid,new car,X<1000,<100,>=7,male single,30<X<=40,skilled,bad
172,no checking,existing paid,furniture/equipment,X<1000,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
173,0<=X<200,delayed previously,furniture/equipment,1000<=X<2500,<100,unemployed,female div/dep/mar,30<X<=40,high qualif/self emp/mgmt,bad
174,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,male single,30<X<=40,skilled,good
175,<0,delayed previously,education,2500<=X<5000,<100,<1,male single,23<X<=30,skilled,bad
176,no checking,all paid,used car,5000<=X<10000,no known savings,unemployed,female div/dep/mar,50<X<=60,high qualif/self emp/mgmt,bad
177,<0,existing paid,furniture/equipment,2500<=X<5000,<100,1<=X<4,male div/sep,40<X<=50,skilled,good
178,<0,critical/other existing credit,radio/tv,X<1000,500<=X<1000,>=7,male single,50<X<=60,skilled,good
179,no checking,existing paid,radio/tv,1000<=X<2500,<100,4<=X<7,male single,30<X<=40,high qualif/self emp/mgmt,good
180,<0,critical/other existing credit,new car,X<1000,<100,>=7,male single,X>60,skilled,good
181,no checking,delayed previously,business,5000<=X<10000,<100,<1,male div/sep,23<X<=30,skilled,bad
182,0<=X<200,delayed previously,business,2500<=X<5000,<100,1<=X<4,male div/sep,23<X<=30,high qualif/self emp/mgmt,bad
183,<0,all paid,new car,1000<=X<2500,no known savings,1<=X<4,male single,30<X<=40,unskilled resident,bad
184,no checking,critical/other existing credit,furniture/equipment,2500<=X<5000,>=1000,1<=X<4,male single,40<X<=50,skilled,good
185,0<=X<200,critical/other existing credit,new car,X<1000,<100,>=7,male single,30<X<=40,skilled,bad
186,no checking,critical/other existing credit,radio/tv,1000<=X<2500,<100,1<=X<4,male single,30<X<=40,skilled,good
187,0<=X<200,all paid,used car,5000<=X<10000,<100,>=7,female div/dep/mar,X>60,high qualif/self emp/mgmt,bad
188,0<=X<200,critical/other existing credit,new car,1000<=X<2500,<100,unemployed,male single,X>60,unemp/unskilled non res,good
189,<0,existing paid,radio/tv,X<1000,100<=X<500,4<=X<7,male mar/wid,X<=23,skilled,bad
190,0<=X<200,no credits/all paid,furniture/equipment,2500<=X<5000,<100,1<=X<4,female div/dep/mar,30<X<=40,skilled,good
191,no checking,existing paid,business,2500<=X<5000,>=1000,1<=X<4,male single,50<X<=60,high qualif/self emp/mgmt,bad
192,0<=X<200,no credits/all paid,business,2500<=X<5000,100<=X<500,4<=X<7,male single,30<X<=40,unskilled resident,bad
193,0<=X<200,existing paid,business,2500<=X<5000,<100,1<=X<4,male single,30<X<=40,skilled,bad
194,no checking,existing paid,radio/tv,1000<=X<2500,<100,4<=X<7,male mar/wid,23<X<=30,skilled,good
195,0<=X<200,existing paid,radio/tv,2500<=X<5000,100<=X<500,1<=X<4,male single,X<=23,skilled,bad
196,0<=X<200,critical/other existing credit,education,1000<=X<2500,<100,>=7,female div/dep/mar,30<X<=40,high qualif/self emp/mgmt,bad
197,no checking,critical/other existing credit,radio/tv,1000<=X<2500,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
198,0<=X<200,existing paid,furniture/equipment,X<1000,100<=X<500,<1,female div/dep/mar,23<X<=30,skilled,bad
199,0<=X<200,existing paid,used car,2500<=X<5000,no known savings,>=7,male single,30<X<=40,skilled,good
200,0<=X<200,delayed previously,furniture/equipment,2500<=X<5000,<100,>=7,male div/sep,30<X<=40,high qualif/self emp/mgmt,bad
201,no checking,critical/other existing credit,education,X<1000,500<=X<1000,>=7,male single,50<X<=60,skilled,good
202,<0,existing paid,new car,1000<=X<2500,<100,1<=X<4,male mar/wid,23<X<=30,unskilled resident,good
203,no checking,delayed previously,business,5000<=X<10000,<100,4<=X<7,male single,23<X<=30,skilled,good
204,<0,existing paid,retraining,X<1000,<100,4<=X<7,male mar/wid,X<=23,skilled,bad
205,no checking,critical/other existing credit,new car,1000<=X<2500,<100,>=7,male single,30<X<=40,unskilled resident,good
206,<0,critical/other existing credit,used car,X>=10000,<100,>=7,male single,30<X<=40,high qualif/self emp/mgmt,good
207,no checking,critical/other existing credit,furniture/equipment,1000<=X<2500,<100,>=7,male single,40<X<=50,skilled,good
208,0<=X<200,critical/other existing credit,domestic appliance,1000<=X<2500,<100,4<=X<7,male single,23<X<=30,skilled,good
209,<0,existing paid,business,5000<=X<10000,<100,1<=X<4,male mar/wid,X<=23,unskilled resident,good
210,no checking,existing paid,used car,1000<=X<2500,>=1000,4<=X<7,male single,50<X<=60,skilled,good
211,no checking,critical/other existing credit,radio/tv,2500<=X<5000,no known savings,1<=X<4,male single,30<X<=40,skilled,good
212,no checking,existing paid,radio/tv,2500<=X<5000,no known savings,>=7,female div/dep/mar,40<X<=50,unskilled resident,good
213,<0,no credits/all paid,business,5000<=X<10000,<100,unemployed,male single,40<X<=50,skilled,bad
214,>=200,delayed previously,business,1000<=X<2500,<100,>=7,male single,X>60,high qualif/self emp/mgmt,bad
215,no checking,critical/other existing credit,radio/tv,2500<=X<5000,no known savings,>=7,male single,50<X<=60,skilled,good
216,0<=X<200,critical/other existing credit,retraining,X<1000,no known savings,4<=X<7,female div/dep/mar,30<X<=40,unskilled resident,good
217,<0,no credits/all paid,business,2500<=X<5000,<100,4<=X<7,male single,30<X<=40,skilled,good
218,>=200,existing paid,radio/tv,2500<=X<5000,<100,1<=X<4,male single,X<=23,skilled,good
219,<0,existing paid,furniture/equipment,2500<=X<5000,<100,1<=X<4,male div/sep,23<X<=30,unskilled resident,good
220,no checking,existing paid,new car,1000<=X<2500,<100,1<=X<4,female div/dep/mar,X>60,skilled,good
221,0<=X<200,existing paid,radio/tv,X<1000,<100,<1,male mar/wid,23<X<=30,unskilled resident,good
222,<0,existing paid,education,1000<=X<2500,no known savings,1<=X<4,female div/dep/mar,X<=23,skilled,good
223,no checking,existing paid,radio/tv,X<1000,<100,1<=X<4,male single,23<X<=30,skilled,good
224,no checking,delayed previously,business,2500<=X<5000,no known savings,1<=X<4,male single,30<X<=40,skilled,good
225,no checking,existing paid,used car,2500<=X<5000,<100,1<=X<4,male single,23<X<=30,skilled,good
226,no checking,no credits/all paid,repairs,2500<=X<5000,<100,1<=X<4,male single,23<X<=30,skilled,good
227,0<=X<200,existing paid,radio/tv,X>=10000,>=1000,4<=X<7,male single,23<X<=30,skilled,bad
228,<0,existing paid,furniture/equipment,5000<=X<10000,<100,>=7,male single,50<X<=60,high qualif/self emp/mgmt,bad
229,no checking,existing paid,radio/tv,1000<=X<2500,<100,4<=X<7,male single,X<=23,skilled,bad
230,<0,existing paid,furniture/equipment,2500<=X<5000,<100,<1,male single,X<=23,skilled,good
231,>=200,existing paid,radio/tv,2500<=X<5000,<100,1<=X<4,male single,23<X<=30,skilled,bad
232,no checking,existing paid,new car,2500<=X<5000,500<=X<1000,>=7,male single,50<X<=60,unskilled resident,good
233,no checking,existing paid,radio/tv,1000<=X<2500,100<=X<500,4<=X<7,male single,30<X<=40,skilled,good
234,0<=X<200,existing paid,radio/tv,X<1000,<100,1<=X<4,male mar/wid,23<X<=30,unskilled resident,good
235,no checking,critical/other existing credit,radio/tv,1000<=X<2500,<100,4<=X<7,male single,40<X<=50,unskilled resident,good
236,<0,existing paid,radio/tv,1000<=X<2500,<100,unemployed,male single,23<X<=30,high qualif/self emp/mgmt,bad
237,0<=X<200,existing paid,new car,X>=10000,no known savings,unemployed,male single,X<=23,unemp/unskilled non res,bad
238,0<=X<200,existing paid,business,2500<=X<5000,100<=X<500,>=7,male div/sep,X>60,unskilled resident,bad
239,no checking,critical/other existing credit,radio/tv,1000<=X<2500,<100,1<=X<4,female div/dep/mar,30<X<=40,skilled,good
240,<0,existing paid,radio/tv,2500<=X<5000,<100,>=7,male single,30<X<=40,skilled,good
241,<0,existing paid,new car,X<1000,no known savings,>=7,female div/dep/mar,23<X<=30,skilled,bad
242,no checking,existing paid,radio/tv,1000<=X<2500,<100,4<=X<7,male single,50<X<=60,skilled,good
243,<0,no credits/all paid,used car,2500<=X<5000,<100,>=7,male single,23<X<=30,skilled,bad
244,no checking,critical/other existing credit,business,1000<=X<2500,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
245,no checking,all paid,retraining,2500<=X<5000,500<=X<1000,1<=X<4,female div/dep/mar,30<X<=40,unskilled resident,good
246,no checking,existing paid,business,1000<=X<2500,<100,4<=X<7,male single,23<X<=30,skilled,good
247,no checking,critical/other existing credit,radio/tv,X<1000,<100,>=7,male single,50<X<=60,skilled,good
